iter	Passed	Remaining
0	0	88
1	1	79
2	2	73
3	2	68
4	3	66
5	4	65
6	5	66
7	5	67
8	6	66
9	7	66
10	8	65
11	8	63
12	9	62
13	10	61
14	10	60
15	11	59
16	12	59
17	12	58
18	13	57
19	14	56
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	48	19
71	48	19
72	49	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
